127.0.0.1 - - [27/Mar/2018:09:41:34 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:41:42 +0530] "GET /StudentFeedBackSystem/ HTTP/1.1" 200 8528
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:41:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:29 +0530] "GET /StudentFeedBackSystem/adminlogin.jsp HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:30 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:30 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:30 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:30 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:39 +0530] "POST /StudentFeedBackSystem/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:40 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:40 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:40 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:59 +0530] "GET /StudentFeedBackSystem/adminAction.jsp? HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:59 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:43:59 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:44:01 +0530] "GET /StudentFeedBackSystem/adminAction.jsp? HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:44:01 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:44:01 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:44:04 +0530] "GET /StudentFeedBackSystem/addsubject.jsp HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:44:04 +0530] "GET /StudentFeedBackSystem/addsubject.jsp HTTP/1.1" 200 3715
