127.0.0.1 - - [31/Dec/2019:12:02:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:43 +0530] "GET /StudentFeedBackSystem/ HTTP/1.1" 200 8528
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/layout/scripts/jquery.min.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/layout/scripts/jquery.mobilemenu.js HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/images/demo/slider/2.png HTTP/1.1" 200 9099
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/layout/styles/layout.css HTTP/1.1" 200 19607
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/images/banner_image.jpg HTTP/1.1" 200 94738
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/images/demo/slider/4.png HTTP/1.1" 200 9098
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/layout/scripts/tabslet/jquery.tabslet.min.js HTTP/1.1" 200 3330
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/images/demo/slider/3.png HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/layout/scripts/jquery.fitvids.min.js HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/layout/styles/fontawesome-4.2.0.min.css HTTP/1.1" 200 21972
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/layout/scripts/nivo-lightbox/nivo-lightbox.min.css HTTP/1.1" 200 7114
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/layout/styles/framework.css HTTP/1.1" 200 3578
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:44 +0530] "GET /StudentFeedBackSystem/images/demo/slider/5.png HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:51 +0530] "GET /StudentFeedBackSystem/studentlogin.jsp HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:51 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:51 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:51 +0530] "GET /StudentFeedBackSystem/css/style.css HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:59 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:02:59 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:03:03 +0530] "GET /StudentFeedBackSystem/registerstudent.jsp HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:03:03 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:03:03 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:04:39 +0530] "POST /StudentFeedBackSystem/UserServlet HTTP/1.1" 200 8009
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:04:39 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [31/Dec/2019:12:04:39 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
